-0.125,0.061,-0.452
0.175,0.278,0.910
0.764,-0.060,0.099
-0.747,-0.050,0.242
0.004,-0.096,0.278
-0.000,-0.072,-0.997
0.309,-0.070,-0.123
-0.359,-0.080,-0.057
-0.027,-0.014,0.689
-0.019,0.103,-0.044
-0.188,0.278,0.860
0.239,0.062,-0.456
0.039,-0.110,-0.673
0.194,0.081,0.472
-0.202,0.086,0.437
0.036,-0.113,-0.250
0.482,-0.054,0.113
-0.113,-0.179,-0.035
-0.003,0.248,0.678
-0.594,-0.049,0.036
0.127,-0.074,0.041
0.201,0.028,0.245
-0.040,0.053,-0.806
-0.007,0.106,0.178
0.012,0.102,-0.282
0.052,0.086,-0.569
0.007,-0.119,-0.462
-0.049,-0.058,0.483
-0.168,-0.075,-0.213
-0.183,0.017,0.244
0.001,0.102,0.378
-0.107,-0.022,0.072
-0.109,0.001,-0.641
-0.006,0.238,0.864
-0.019,-0.174,-0.836
-0.015,0.110,0.558
-0.253,-0.139,0.074
0.098,0.023,-0.152
0.102,-0.011,-0.372
-0.758,-0.034,0.073
0.325,-0.065,0.053
-0.433,-0.055,0.091
0.080,-0.177,-0.072
0.075,-0.048,-0.832
-0.091,0.056,-0.177
-0.003,0.110,0.777
0.077,-0.030,0.405
0.741,-0.044,0.247
0.620,-0.046,0.054
0.080,0.040,-0.709
0.451,-0.052,-0.033
0.235,-0.159,-0.028
0.002,-0.107,0.130
-0.090,-0.073,-0.360
-0.204,-0.060,-0.070
0.012,0.102,-0.430
0.073,0.071,0.061
0.094,-0.052,-0.552
0.054,-0.016,0.573
0.176,-0.092,-0.176
-0.095,-0.016,0.357
0.138,0.106,0.341
-0.082,-0.080,-0.749
0.097,-0.020,0.167
0.100,0.276,0.791
-0.638,-0.045,0.166
-0.094,-0.066,-0.529
-0.051,-0.106,-0.126
-0.029,0.095,-0.668
-0.011,-0.112,-0.003
-0.065,-0.038,-0.890
-0.095,0.049,-0.330
-0.089,0.278,0.780
-0.160,0.116,0.318
-0.106,0.020,-0.060
-0.104,0.051,0.500
-0.473,-0.053,-0.025
-0.085,-0.063,0.204
0.642,-0.045,0.173
0.118,0.067,-0.467
0.095,-0.011,0.283
-0.063,0.084,-0.552
0.119,-0.063,-0.076
0.195,0.008,0.368
-0.063,0.085,0.072
-0.230,0.064,-0.404
0.238,-0.135,0.082
-0.264,-0.150,-0.042
0.017,0.101,-0.155
0.013,0.132,0.665
-0.100,0.044,0.172
0.082,0.047,0.484
-0.061,-0.012,0.585
-0.332,-0.063,0.050
-0.287,-0.071,-0.138
-0.214,0.017,0.356
-0.066,0.082,0.278
0.097,0.026,-0.272
0.079,0.061,-0.055
-0.068,-0.096,-0.629
-0.067,-0.101,-0.230
0.049,0.087,0.264
-0.014,-0.085,0.389
0.226,-0.058,-0.052
0.046,-0.107,-0.367
-0.532,-0.057,0.119
0.019,-0.117,-0.567
0.012,-0.106,-0.901
-0.125,-0.084,-0.002
0.017,0.017,-0.878
0.012,0.216,0.770
0.030,-0.112,-0.774
0.049,-0.104,-0.129
0.092,-0.055,-0.457
0.097,-0.038,-0.652
-0.098,0.011,-0.737
0.362,-0.081,-0.034
0.045,0.040,0.647
-0.239,-0.064,0.016
-0.099,0.276,0.884
-0.078,0.058,0.413
-0.111,-0.011,-0.245
0.093,-0.053,-0.203
-0.723,-0.013,0.163
0.161,0.109,0.252
0.541,-0.054,0.011
0.051,0.042,-0.798
0.415,-0.071,0.050
-0.047,0.060,0.643
-0.141,-0.099,-0.124
0.224,0.078,0.315
0.004,0.113,0.472
0.001,0.303,0.780
0.240,-0.123,-0.110
-0.671,-0.042,0.082
0.738,-0.009,0.167
-0.190,0.041,0.512
0.048,-0.052,0.484
0.087,0.274,0.877
0.093,-0.038,-0.748
0.019,0.030,0.750
0.051,-0.085,0.207
0.077,0.053,0.381
-0.080,-0.088,-0.444
0.071,0.074,0.165
-0.224,0.089,0.268
-0.023,-0.118,-0.318
0.085,-0.068,-0.303
0.068,0.075,-0.374
0.102,-0.001,0.009
-0.106,-0.005,0.267
-0.107,0.015,-0.547
-0.053,-0.098,-0.835
0.097,0.022,-0.592
-0.111,-0.006,-0.409
0.219,-0.068,0.029
0.563,-0.045,0.119
0.056,-0.069,0.333
-0.065,-0.088,0.088
0.038,-0.038,-0.933
0.217,0.084,0.395
-0.197,0.067,-0.486
-0.107,-0.027,-0.129
0.072,-0.076,0.109
0.051,0.084,-0.648
-0.053,0.091,-0.388
0.689,-0.039,0.100
-0.157,0.016,0.409
-0.063,0.084,-0.266
0.003,0.104,0.037
-0.068,-0.070,0.309
-0.511,-0.044,0.045
-0.081,0.072,-0.002
-0.088,-0.012,-0.810
-0.145,0.085,0.244
0.146,0.038,0.419
0.075,0.068,-0.212
0.066,-0.090,-0.028
-0.048,0.095,-0.478
-0.395,-0.051,0.003
0.002,0.084,-0.752
-0.214,-0.092,-0.139
0.101,0.009,0.098
-0.115,0.059,0.336
0.046,0.090,-0.495
0.099,0.009,-0.510
-0.087,-0.011,0.436
0.177,0.061,-0.416
-0.006,0.167,0.603
0.163,0.276,0.838
0.282,-0.084,-0.013
0.045,0.069,0.566
-0.034,-0.114,-0.705
0.244,-0.071,-0.161
-0.221,0.096,0.352
0.021,-0.031,0.637
0.001,-0.119,-0.187
0.128,0.024,0.338
-0.072,-0.095,-0.050
-0.076,0.076,-0.092
-0.022,-0.118,-0.397
-0.008,-0.061,0.542
0.046,-0.097,0.040
-0.147,0.092,0.392
-0.092,-0.070,-0.289
0.118,0.055,0.270
-0.040,-0.114,-0.515
0.061,-0.096,-0.504
0.007,-0.114,-0.071
-0.098,-0.059,-0.680
0.171,-0.087,-0.019
0.155,0.046,0.519
-0.084,0.065,-0.615
-0.019,0.078,0.717
-0.021,0.184,0.696
-0.002,0.279,0.919
0.178,0.062,-0.501
0.122,-0.149,-0.025
0.070,-0.089,-0.605
-0.210,-0.123,-0.007
-0.111,-0.006,-0.478
-0.299,-0.056,-0.034
0.017,0.102,0.114
-0.066,0.070,-0.721
-0.601,-0.041,0.109
-0.759,-0.068,0.144
0.155,0.107,0.408
-0.045,0.283,0.833
-0.034,-0.035,-0.952
-0.029,-0.099,0.199
-0.018,0.101,-0.599
-0.003,0.181,0.825
0.030,0.098,-0.090
0.102,-0.001,-0.060
-0.064,0.056,0.553
-0.160,0.004,0.305
-0.109,-0.014,0.006
-0.100,-0.063,-0.187
0.747,-0.072,0.183
0.034,0.283,0.833
-0.142,0.069,-0.521
0.161,-0.097,-0.113
-0.104,-0.050,-0.591
0.478,-0.069,0.041
-0.257,-0.119,-0.098
-0.024,0.102,-0.219
0.054,0.082,0.327
0.094,-0.047,-0.140
-0.096,-0.052,0.130
-0.103,0.037,0.046
-0.273,-0.118,0.014
-0.111,-0.011,-0.346
0.266,-0.140,0.024
0.068,0.075,-0.310
-0.066,0.082,0.215
-0.105,0.030,0.109
-0.151,-0.093,-0.060
0.041,0.085,0.424
-0.048,0.096,-0.145
-0.078,-0.006,0.511
0.176,0.001,0.305
0.053,0.086,0.003
0.007,-0.114,-0.832
-0.003,0.105,-0.530
-0.008,0.104,0.283
-0.183,-0.073,0.041
-0.417,-0.060,-0.061
-0.034,-0.113,-0.769
-0.134,0.059,0.448
-0.225,0.030,0.297
0.085,-0.068,-0.393
-0.104,-0.044,-0.062
0.021,0.100,-0.342
-0.059,0.076,0.468
-0.125,0.282,0.828
-0.021,0.276,0.731
0.012,0.097,0.610
0.360,-0.065,-0.092
0.093,0.038,-0.422
0.111,0.061,-0.550
-0.068,-0.059,0.393
0.014,-0.169,-0.786
0.314,-0.052,-0.055
0.094,-0.032,0.225
0.118,-0.100,-0.155
-0.051,0.011,-0.859
-0.086,-0.147,-0.078
0.067,-0.070,0.262
0.008,0.144,0.730
-0.095,0.049,-0.393
-0.064,0.086,0.151
-0.044,0.097,-0.330
-0.064,-0.092,0.015
-0.058,0.085,0.336
0.040,0.084,-0.706
-0.013,-0.119,-0.647
-0.003,-0.110,0.072
0.044,0.275,0.753
-0.452,-0.049,0.036
0.146,-0.073,-0.223
0.208,-0.058,-0.107
-0.043,-0.088,-0.910
0.233,0.060,-0.398
0.266,-0.116,-0.058
0.079,0.061,-0.113
0.698,-0.041,0.194
0.621,-0.039,0.119
0.100,0.009,-0.208
0.098,-0.032,-0.261
-0.107,-0.016,0.178
0.526,-0.064,0.073
0.007,-0.077,0.452
0.030,0.055,0.700
0.195,0.112,0.350
-0.720,-0.062,0.104
0.096,0.030,-0.335
0.054,-0.076,-0.876
-0.337,-0.070,-0.108
0.054,-0.103,-0.198
0.033,-0.114,-0.309
-0.176,0.067,-0.419
0.082,0.059,0.218
-0.225,0.045,0.403
-0.183,-0.063,-0.018
0.095,0.025,-0.657
